id_componente,codigo,nivel,nome,unidade_responsavel
25148,DGE0223,G,GEOGRAFIA CULTURAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25149,DGE0222,G,GEOGRAFIA DA AMERICA LATINA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25150,DGE0140,G,GEOGRAFIA DO NORDESTE,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25151,DGE0225,G,GEOGRAFIA E ETICA PROFISSIONAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25152,DGE0150,G,GEOGRAFIA E TURISMO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25153,DGE0218,G,GEOPOLITICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25154,DGE0224,G,MEIO-AMBIENTE E DESENVOLVIMENTO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25155,DGE0146,G,SEDIMENTOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25156,DGE0201,G,INTRODUCAO A GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25157,DHG0101,G,INTROD A CIENCIA GEOGRAFICA,CERES - DEPARTAMENTO DE GEOGRAFIA
25158,DGE0059,G,CARTOGRAFIA GERAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25159,DGE0203,G,GEOLOGIA GERAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25160,DGE0205,G,METEOROLOGIA E CLIMATOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25161,DGE0064,G,BIOGEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25162,DGE0065,G,GEOGRAFIA DA POPULACAO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25163,DGE0071,G,GEOGRAFIA ECONOMICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25164,DGE0207,G,TEORIA E METODOS DA GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25165,DGE0211,G,GEOGRAFIA REGIONAL DO MUNDO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25166,DGE0078,G,BIOCLIMATOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25167,DHG0129,G,GEOGRAFIA DO MAR,CERES - DEPARTAMENTO DE GEOGRAFIA
25168,DGE0229,G,GEOMORFOLOGIA APLICADA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25169,DGE0219,G,GEOGRAFIA DO AMBIENTE COSTEIRO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25170,DGE0085,G,GEOGRAFIA DO NORDESTE,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25171,DGE0069,G,GEOGRAFIA POLITICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25172,DGE0092,G,SEDIMENTOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25173,DGE0082,G,FITOGEOGRAFIA DO BRASIL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25174,DGE0087,G,GEOGRAFIA E TURISMO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25175,DGE0080,G,ECOTURISMO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25176,DGE0053,G,INTRODUCAO A GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25177,DGE0054,G,GEOLOGIA GERAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25178,DGE0055,G,FORMACAO ECONOMICA E TERRITORIAL DO BRASIL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25179,DGE0060,G,METEOROLOGIA E CLIMATOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25180,DGE0058,G,TEORIA E METODOS DA GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25181,DGE0079,G,ECOLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25182,DGE0075,G,EDUCACAO AMBIENTAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25183,DGE0067,G,GEOGRAFIA REGIONAL DO MUNDO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25184,DGE0090,G,HIDROLOGIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25185,DGE0315,G,GEOPROCESSAMENTO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25186,DGE0089,G,GEOPOLITICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25187,DGE0084,G,GEOGRAFIA DA AMERICA LATINA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25188,DGE0083,G,GEOGRAFIA CULTURAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25189,DGE0091,G,MEIO AMBIENTE E DESENVOLVIMENTO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25190,DGE0086,G,GEOGRAFIA E ETICA PROFISSIONAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25191,DGE0081,G,ESTUDOS DA PAISAGEM GEOGRAFICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25192,DGE0088,G,GEOMORFOLOGIA APLICADA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
